button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
R,U,"[2, 1]",1.0,3.0,0.19095587730407715,1.867427110671997,0.6644516453722435,27.0,165.0
Y,R,"[2, 2]",1.0,4.0,0.16234707832336426,1.50907301902771,0.3406320486194021,27.0,166.0
R,U,"[1, 2]",1.0,5.0,0.2013859748840332,1.4938530921936035,0.2845661818559459,27.0,167.0
Y,R,"[1, 3]",1.0,6.0,0.19640803337097168,1.535383939743042,0.33643319038968217,27.0,168.0
,,"(3, 3)",,,,,,27.0,
B,L,"[3, 2]",1.0,1.0,0.1615769863128662,3.488062858581543,0.3581040647340642,,169.0
B,L,"[3, 1]",1.0,2.0,0.16981101036071777,1.7510669231414795,0.5755076640730751,28.0,170.0
R,U,"[2, 1]",1.0,3.0,0.1668550968170166,1.7431631088256836,0.5686628636696361,28.0,171.0
Y,R,"[2, 2]",1.0,4.0,0.1840219497680664,1.7200570106506348,0.5222383515029865,28.0,172.0
R,U,"[1, 2]",1.0,5.0,0.17948698997497559,1.635577917098999,0.45792174459061474,28.0,173.0
Y,R,"[1, 3]",1.0,6.0,0.17400813102722168,1.5406501293182373,0.3653628698120255,28.0,174.0
,,"(3, 3)",,,,,,28.0,
B,L,"[3, 2]",1.0,1.0,0.2347550392150879,3.558960199356079,0.5076181309130146,,175.0
B,L,"[3, 1]",1.0,2.0,0.16019582748413086,1.4189000129699707,0.2600521230007564,29.0,176.0
R,U,"[2, 1]",1.0,3.0,0.2516191005706787,1.8900549411773682,0.6331332100676345,29.0,177.0
Y,R,"[2, 2]",1.0,4.0,0.17079615592956543,1.7008957862854004,0.517495730938603,29.0,178.0
R,U,"[1, 2]",1.0,5.0,0.1666250228881836,1.8608479499816895,0.6781883131614055,29.0,179.0
Y,R,"[1, 3]",1.0,6.0,0.16487908363342285,1.6617610454559326,0.5067070078726226,29.0,180.0
,,"(3, 3)",,,,,,29.0,
B,L,"[3, 2]",1.0,1.0,0.10253691673278809,3.4667930603027344,0.6733121667529683,,181.0
